City,Latitude,Longitude,Weather Code,Timezone,Time,Relative Humidity (%),Temperature (°C),Wind Speed (m/s)
New York,40.710335,-73.99309,0,GMT,2024-12-02T00:00,38,0.1,2.28
New York,40.710335,-73.99309,0,GMT,2024-12-02T01:00,45,-0.7,2.56
New York,40.710335,-73.99309,0,GMT,2024-12-02T02:00,47,-1.0,2.04
New York,40.710335,-73.99309,0,GMT,2024-12-02T03:00,46,-1.0,2.31
New York,40.710335,-73.99309,0,GMT,2024-12-02T04:00,52,-0.8,2.2
New York,40.710335,-73.99309,0,GMT,2024-12-02T05:00,50,-0.9,2.43
New York,40.710335,-73.99309,0,GMT,2024-12-02T06:00,51,-0.8,1.75
New York,40.710335,-73.99309,0,GMT,2024-12-02T07:00,55,-1.1,2.38
New York,40.710335,-73.99309,0,GMT,2024-12-02T08:00,56,-1.4,2.8
New York,40.710335,-73.99309,0,GMT,2024-12-02T09:00,56,-1.4,2.73
New York,40.710335,-73.99309,0,GMT,2024-12-02T10:00,61,-1.7,2.47
New York,40.710335,-73.99309,3,GMT,2024-12-02T11:00,59,-1.5,2.97
New York,40.710335,-73.99309,3,GMT,2024-12-02T12:00,62,-1.4,3.07
New York,40.710335,-73.99309,0,GMT,2024-12-02T13:00,66,-1.4,3.31
New York,40.710335,-73.99309,0,GMT,2024-12-02T14:00,61,-0.2,3.36
New York,40.710335,-73.99309,0,GMT,2024-12-02T15:00,58,1.2,4.62
New York,40.710335,-73.99309,0,GMT,2024-12-02T16:00,53,2.3,4.06
New York,40.710335,-73.99309,0,GMT,2024-12-02T17:00,47,3.5,3.22
New York,40.710335,-73.99309,1,GMT,2024-12-02T18:00,46,4.0,3.64
New York,40.710335,-73.99309,1,GMT,2024-12-02T19:00,44,4.2,4.34
New York,40.710335,-73.99309,0,GMT,2024-12-02T20:00,42,4.0,5.09
New York,40.710335,-73.99309,0,GMT,2024-12-02T21:00,40,3.2,4.56
New York,40.710335,-73.99309,1,GMT,2024-12-02T22:00,46,2.5,3.61
New York,40.710335,-73.99309,1,GMT,2024-12-02T23:00,45,2.0,2.7
New York,40.710335,-73.99309,0,GMT,2024-12-03T00:00,49,0.5,2.82
New York,40.710335,-73.99309,0,GMT,2024-12-03T01:00,52,-0.4,2.12
New York,40.710335,-73.99309,0,GMT,2024-12-03T02:00,58,-1.1,2.19
New York,40.710335,-73.99309,0,GMT,2024-12-03T03:00,54,-1.0,2.12
New York,40.710335,-73.99309,0,GMT,2024-12-03T04:00,57,-1.1,2.28
New York,40.710335,-73.99309,0,GMT,2024-12-03T05:00,63,-1.0,2.3
New York,40.710335,-73.99309,1,GMT,2024-12-03T06:00,66,-1.0,1.71
New York,40.710335,-73.99309,0,GMT,2024-12-03T07:00,68,-1.2,0.89
New York,40.710335,-73.99309,0,GMT,2024-12-03T08:00,68,-0.8,0.1
New York,40.710335,-73.99309,1,GMT,2024-12-03T09:00,70,-0.6,1.66
